pincode,office_name,district,state
342001,Jodhpur GPO,Jodhpur,Rajasthan
342003,Shastri Nagar,Jodhpur,Rajasthan
342005,Ratanada,Jodhpur,Rajasthan
342008,Residency Road,Jodhpur,Rajasthan
342011,Paota,Jodhpur,Rajasthan
342024,AIIMS Jodhpur,Jodhpur,Rajasthan
342301,Phalodi HO,Phalodi,Rajasthan
302001,Jaipur GPO,Jaipur,Rajasthan
302017,Malviya Nagar,Jaipur,Rajasthan
302020,Mansarovar,Jaipur,Rajasthan
305001,Ajmer GPO,Ajmer,Rajasthan
334001,Bikaner HO,Bikaner,Rajasthan
324001,Kota HO,Kota,Rajasthan
313001,Udaipur City HO,Udaipur,Rajasthan
560001,Bengaluru GPO,Bengaluru Urban,Karnataka
560002,City Market,Bengaluru Urban,Karnataka
560003,Malleshwaram,Bengaluru Urban,Karnataka
560004,Basavanagudi,Bengaluru Urban,Karnataka
560008,Halasuru,Bengaluru Urban,Karnataka
560010,Rajajinagar,Bengaluru Urban,Karnataka
560011,Jayanagar,Bengaluru Urban,Karnataka
560017,Vimanapura / HAL,Bengaluru Urban,Karnataka
560025,Richmond Town,Bengaluru Urban,Karnataka
560034,Koramangala,Bengaluru Urban,Karnataka
560037,Marathahalli,Bengaluru Urban,Karnataka
560038,Indiranagar,Bengaluru Urban,Karnataka
560043,Kalyan Nagar,Bengaluru Urban,Karnataka
560066,Whitefield,Bengaluru Urban,Karnataka
560068,Madivala,Bengaluru Urban,Karnataka
560076,BTM Layout,Bengaluru Urban,Karnataka
560078,JP Nagar,Bengaluru Urban,Karnataka
560085,Banashankari 3rd Stage,Bengaluru Urban,Karnataka
560090,Abbigere / Chikbanavara,Bengaluru Urban,Karnataka
560091,Viswaneedam,Bengaluru Urban,Karnataka
560092,Sahakara Nagar,Bengaluru Urban,Karnataka
560100,Electronic City,Bengaluru Urban,Karnataka
560102,HSR Layout,Bengaluru Urban,Karnataka
560103,Bellandur,Bengaluru Urban,Karnataka
570001,Mysuru Head Office,Mysuru,Karnataka
575001,Mangaluru HO,Dakshina Kannada,Karnataka
580001,Hubballi HO,Dharwad,Karnataka
590001,Belagavi HO,Belagavi,Karnataka
500001,Hyderabad GPO,Hyderabad,Telangana
500003,Secunderabad HO,Hyderabad,Telangana
500016,Begumpet,Hyderabad,Telangana
500032,Gachibowli,Rangareddy,Telangana
500033,Jubilee Hills,Hyderabad,Telangana
500034,Banjara Hills,Hyderabad,Telangana
500039,Uppal,Medchal-Malkajgiri,Telangana
500072,Kukatpally,Medchal-Malkajgiri,Telangana
500081,Hitech City / Madhapur,Hyderabad,Telangana
500084,Kondapur,Rangareddy,Telangana
506001,Warangal HO,Warangal,Telangana
530001,Visakhapatnam HO,Visakhapatnam,Andhra Pradesh
520001,Vijayawada HO,NTR District,Andhra Pradesh
522001,Guntur HO,Guntur,Andhra Pradesh
517501,Tirupati HO,Tirupati,Andhra Pradesh
400001,Mumbai GPO,Mumbai,Maharashtra
400005,Colaba,Mumbai,Maharashtra
400013,Lower Parel,Mumbai,Maharashtra
400020,Churchgate,Mumbai,Maharashtra
